threads,throughput
1,74684900.284900
2,22144924.169428
4,21223549.652119
6,20486919.003407
8,19906403.023238
10,18448137.616475
12,18445656.360575
14,17376841.139610
16,19655780.481840
18,19387457.050851
20,17277272.085985
24,18799054.288756
30,17031669.136905
