threads,throughput
1,1477973.036244
2,9494645.138825
4,11723518.403726
6,12182404.956582
8,13593990.857905
10,12133545.539338
12,12703413.676144
14,13407674.547165
16,13472468.454973
18,13568556.522608
20,13278877.012807
24,13545066.884101
30,13878444.395700
